trial,state,value,param_gamma,param_mu,param_nu,param_rho,param_delta,param_lambda_,param_p_h,attr_train_total_revenue,attr_train_avg_revenue,attr_valid_total_revenue,attr_valid_avg_revenue,attr_pacing_term
0,COMPLETE,51.91168801066206,0.19003712932599,0.0198973389412471,1.99400362001601,0.418331944593489,0.636301389842897,1.9534446234665,0.416210088303199,176462.61933770915,52.285220544506416,43813.46468099878,51.91168801066206,1.174113975599305
1,COMPLETE,51.957723448997854,0.07909057552815364,2.704285838459497,4.391963650868431,0.5919509051822196,0.9361118426546191,0.9359671220172159,-0.8838327756636011,176654.36998713738,52.34203555174441,43852.318590954186,51.957723448997854,0.4768143884162177
2,COMPLETE,51.54808570269088,1.1940937755736196,0.606690070459253,4.248435466776273,-2.8764930342251853,5.819459112971966,4.99465584480253,-0.5753217786434477,171515.2470369941,50.81933245540566,43506.5843330711,51.54808570269088,2.6549090887059212
3,COMPLETE,25.39175240132432,0.027290114852919024,-1.899572940879397,1.8254534577572263,0.14853858979342682,2.591670111852695,1.7473748411882515,0.22370578944475894,92195.31345634897,27.31712991299229,21430.639026717727,25.39175240132432,1.0332289424927497
4,COMPLETE,40.56923682982994,0.021602196360258456,-1.247132108788691,2.19817105976215,-0.26358009469778443,4.711055768358081,1.1980426929501584,0.02846887682722321,138672.76789658287,41.08822752491344,34240.43588437647,40.56923682982994,0.9924961707499409
5,COMPLETE,64.64991430917374,0.2633750289748526,-2.721297523680014,3.64526911140863,-1.9768552578762508,0.3903095579116771,5.69331322352,0.9312640661491187,214133.5747852987,63.44698512156999,54564.527676942635,64.64991430917374,-0.8409742656381021
6,COMPLETE,20.488074863534543,0.8679372823759549,-1.1723173849597759,0.5860326840383032,1.1053981590729416,2.640914962437608,0.732229409068673,-0.00964617977745963,71744.54100902729,21.25764178045253,17291.935184823153,20.488074863534543,0.9893371306319095
7,COMPLETE,82.9386829913205,0.012090983002033094,2.4559224124726926,1.5526798896001015,0.9751337061238918,1.8702664565364657,3.120408127066865,0.0934205586865593,282437.16646393674,83.68508635968496,70000.24844467451,82.9386829913205,1.091097535620189
8,COMPLETE,51.18235887416434,0.02775044135278824,2.817507766587351,4.650796940166687,2.6369936493851345,5.368964102565893,3.587399872866511,0.8437484700462337,173598.06945976417,51.43646502511531,43197.91088979471,51.18235887416434,3.2249593571903414
9,COMPLETE,24.514896542976988,0.016300454397926562,-1.8241028254851288,0.2713637334632284,-1.048018015420414,2.332063738136892,1.6280941906433755,0.6574750183038587,83355.11967205816,24.69781323616538,20690.572682272577,24.514896542976988,0.3109543361286897
10,COMPLETE,80.59074864676924,0.07169239274997505,-1.3143929418757154,3.2561764989494906,-2.154454650151424,4.813181884524238,0.44730386207862494,0.9737738732010346,267230.8015202466,79.17949674673973,68018.59185787324,80.59074864676924,-1.097951649313932
11,COMPLETE,20.25758279663615,0.7108805448907866,-1.8077059107949656,0.033132702741614395,1.8927685707290047,4.241144063085702,4.374043008245923,0.5425406933718915,69834.1492594266,20.691599780570844,17097.39988036091,20.25758279663615,2.0269039727558384
12,COMPLETE,80.52705154898449,0.015050628388629531,-0.8492056287343646,0.6952143571507783,2.178620555253561,3.7397887609653475,1.9853881491158951,-0.8728832994279527,268835.7746793191,79.65504434942788,67964.83150734291,80.52705154898449,-0.9016814984712866
13,COMPLETE,45.80574597934302,0.05568227248453366,-1.0489000678395177,4.377637070028385,0.8253448281312785,5.323276455457959,2.8332895509716955,-0.7608115081233966,155740.5717853312,46.1453546030611,38660.04960656551,45.80574597934302,0.3720681565875964
14,COMPLETE,94.77202400344052,0.5132372995886693,1.5647102917013846,3.367663185416977,1.6258030797273655,2.9627735781863445,3.136396976291964,-0.14491796328290074,319726.9862388034,94.73392184853435,79987.5882589038,94.77202400344052,0.7643919289868427
