epoch,step,train/cat_loss,train/loss,train/nan_count,train/num_loss,val/cat_loss,val/loss,val/nan_count,val/num_loss
0,0,0.7196455597877502,7.471016883850098,855.0,6.751371383666992,,,,
0,1,0.6728401184082031,6.751424312591553,852.0,6.07858419418335,,,,
0,2,0.6313971281051636,5.75746488571167,886.0,5.126067638397217,,,,
0,3,0.594083845615387,4.973268032073975,868.0,4.379184246063232,,,,
0,4,0.5576868057250977,4.825362205505371,871.0,4.267675399780273,,,,
0,5,0.5247998237609863,4.172521114349365,879.0,3.647721290588379,,,,
0,6,0.4932384788990021,3.848007917404175,909.0,3.354769468307495,,,,
0,7,0.46682363748550415,3.5626580715179443,827.0,3.095834493637085,,,,
0,8,0.44207289814949036,3.2145462036132812,925.0,2.7724733352661133,,,,
0,9,0.4197249114513397,3.291391372680664,856.0,2.871666431427002,,,,
0,10,0.40723326802253723,2.753814458847046,887.0,2.346581220626831,,,,
0,11,0.40060967206954956,2.42975115776062,876.0,2.029141426086426,,,,
0,12,0.3795849680900574,2.455779552459717,884.0,2.0761945247650146,,,,
0,13,0.36421999335289,2.305394411087036,923.0,1.9411743879318237,,,,
0,14,0.3587801158428192,1.9099420309066772,851.0,1.5511618852615356,,,,
0,15,0.340548038482666,1.9981781244277954,922.0,1.6576300859451294,,,,
0,16,0.34475263953208923,1.7718769311904907,878.0,1.427124261856079,,,,
0,17,0.33065733313560486,1.5672836303710938,804.0,1.2366262674331665,,,,
0,18,0.3137856125831604,1.458634614944458,889.0,1.1448490619659424,,,,
0,19,0.3086799085140228,1.4164234399795532,874.0,1.107743501663208,,,,
0,20,0.3044995367527008,1.2724285125732422,880.0,0.9679290056228638,,,,
0,21,0.29996559023857117,1.1389997005462646,864.0,0.8390340805053711,,,,
0,22,0.3052320182323456,1.168328881263733,802.0,0.8630968332290649,,,,
0,23,0.2954642176628113,0.983604907989502,854.0,0.6881406903266907,,,,
0,24,0.28979694843292236,0.9414947032928467,884.0,0.6516977548599243,,,,
0,25,0.2800241708755493,0.8993731737136841,862.0,0.6193490028381348,,,,
0,26,0.28044643998146057,0.8261563777923584,881.0,0.5457099080085754,,,,
0,27,0.2785690724849701,0.7945073843002319,894.0,0.5159383416175842,,,,
0,28,0.2728695869445801,0.7327449321746826,874.0,0.45987534523010254,,,,
0,29,0.25521373748779297,0.6902797818183899,892.0,0.4350660443305969,,,,
0,30,0.26399290561676025,0.6720271706581116,876.0,0.4080342650413513,,,,
0,31,0.26447758078575134,0.6440520286560059,863.0,0.3795744478702545,,,,
0,32,0.24736571311950684,0.6282201409339905,853.0,0.38085442781448364,,,,
0,33,0.2500917315483093,0.6134239435195923,911.0,0.36333221197128296,,,,
0,34,0.2385655790567398,0.5892559885978699,828.0,0.35069042444229126,,,,
0,35,0.24761396646499634,0.5766944885253906,863.0,0.3290804922580719,,,,
0,36,0.23648998141288757,0.5519119501113892,884.0,0.315421998500824,,,,
0,37,0.23541733622550964,0.5263009071350098,852.0,0.2908835709095001,,,,
0,38,0.23823101818561554,0.5166828632354736,877.0,0.2784518599510193,,,,
0,39,0.23252049088478088,0.5220566987991333,779.0,0.2895362377166748,,,,
0,40,0.22196492552757263,0.46966713666915894,923.0,0.2477022111415863,,,,
0,41,0.23393763601779938,0.509239673614502,903.0,0.27530205249786377,,,,
0,42,0.22781425714492798,0.5072008967399597,921.0,0.27938663959503174,,,,
0,43,0.23362533748149872,0.5299808979034424,849.0,0.29635557532310486,,,,
0,44,0.2265571802854538,0.5046451687812805,924.0,0.2780879735946655,,,,
0,45,0.21632523834705353,0.4754831790924072,873.0,0.2591579556465149,,,,
0,46,0.21144041419029236,0.4660758972167969,865.0,0.2546354830265045,,,,
0,47,0.2049642950296402,0.49283838272094727,819.0,0.2878740727901459,,,,
0,48,0.21408812701702118,0.4536486864089966,885.0,0.2395605444908142,,,,
0,49,0.2047325074672699,0.46859070658683777,902.0,0.26385819911956787,,,,
0,50,0.19861511886119843,0.4480014741420746,904.0,0.24938635528087616,,,,
0,51,0.196131631731987,0.4627445936203003,887.0,0.2666129469871521,,,,
0,52,0.20054452121257782,0.44601970911026,887.0,0.2454751878976822,,,,
0,53,0.20285604894161224,0.42798563838005066,871.0,0.22512958943843842,,,,
0,54,0.1986480951309204,0.43497878313064575,900.0,0.23633067309856415,,,,
0,55,0.20424728095531464,0.445749431848526,759.0,0.24150215089321136,,,,
0,55,,,,,0.2928750813007355,0.6838418841362,494.3002014160156,0.39096683263778687
1,56,0.20005954802036285,0.43222934007644653,861.0,0.23216980695724487,,,,
1,57,0.19174160063266754,0.40182918310165405,870.0,0.21008756756782532,,,,
1,58,0.1901235729455948,0.3942094147205353,918.0,0.2040858417749405,,,,
1,59,0.18874794244766235,0.41117027401924133,854.0,0.22242233157157898,,,,
1,60,0.18876518309116364,0.3897819221019745,878.0,0.20101673901081085,,,,
1,61,0.18048407137393951,0.39236974716186523,860.0,0.21188566088676453,,,,
1,62,0.1805972456932068,0.3924791216850281,856.0,0.2118818610906601,,,,
1,63,0.19138331711292267,0.37870824337005615,869.0,0.1873249113559723,,,,
1,64,0.1795044094324112,0.3649500608444214,832.0,0.1854456514120102,,,,
1,65,0.18227919936180115,0.3788946866989136,902.0,0.19661550223827362,,,,
1,66,0.1832830160856247,0.3642211854457855,885.0,0.18093816936016083,,,,
1,67,0.1708419919013977,0.342245876789093,868.0,0.1714038848876953,,,,
1,68,0.18147094547748566,0.3692321479320526,877.0,0.18776120245456696,,,,
1,69,0.1775386929512024,0.35937100648880005,896.0,0.18183232843875885,,,,
1,70,0.17327317595481873,0.35332435369491577,901.0,0.18005117774009705,,,,
1,71,0.17744433879852295,0.3640086054801941,864.0,0.18656425178050995,,,,
1,72,0.16875630617141724,0.32527440786361694,882.0,0.1565181016921997,,,,
1,73,0.17262452840805054,0.3368911147117615,864.0,0.16426660120487213,,,,
1,74,0.1732427030801773,0.34498268365859985,888.0,0.17173999547958374,,,,
1,75,0.1686864197254181,0.3457115888595581,830.0,0.1770251840353012,,,,
1,76,0.16946649551391602,0.33752238750457764,865.0,0.16805590689182281,,,,
1,77,0.15935976803302765,0.32216936349868774,847.0,0.1628095954656601,,,,
1,78,0.16450969874858856,0.3544272184371948,897.0,0.18991750478744507,,,,
1,79,0.16544201970100403,0.3171318471431732,837.0,0.1516898274421692,,,,
1,80,0.16252638399600983,0.30627942085266113,907.0,0.1437530368566513,,,,
1,81,0.1681271344423294,0.3273676037788391,870.0,0.1592404693365097,,,,
1,82,0.167561873793602,0.31885653734207153,853.0,0.15129464864730835,,,,
1,83,0.1567552089691162,0.320925772190094,836.0,0.1641705483198166,,,,
1,84,0.16297811269760132,0.318656325340271,890.0,0.15567819774150848,,,,
1,85,0.15737858414649963,0.31843143701553345,908.0,0.16105283796787262,,,,
1,86,0.1605512648820877,0.31905338168144226,895.0,0.15850211679935455,,,,
1,87,0.16255998611450195,0.31888723373413086,857.0,0.1563272327184677,,,,
1,88,0.16106173396110535,0.30475667119026184,863.0,0.1436949372291565,,,,
1,89,0.15688008069992065,0.31365910172462463,839.0,0.15677902102470398,,,,
1,90,0.1517583280801773,0.28880995512008667,906.0,0.13705161213874817,,,,
1,91,0.16154316067695618,0.3010297417640686,849.0,0.13948659598827362,,,,
1,92,0.1581754982471466,0.30534830689430237,929.0,0.14717280864715576,,,,
1,93,0.14994622766971588,0.29213494062423706,882.0,0.14218871295452118,,,,
1,94,0.15653468668460846,0.3035295903682709,927.0,0.14699490368366241,,,,
1,95,0.1571173220872879,0.2854328751564026,854.0,0.12831556797027588,,,,
1,96,0.1525305062532425,0.28838568925857544,862.0,0.13585519790649414,,,,
1,97,0.15295347571372986,0.3316575884819031,849.0,0.17870409786701202,,,,
1,98,0.149782195687294,0.2966404855251312,882.0,0.14685828983783722,,,,
1,99,0.15151700377464294,0.2699734568595886,863.0,0.11845646053552628,,,,
1,100,0.14665158092975616,0.2667751908302307,892.0,0.12012361735105515,,,,
1,101,0.14979656040668488,0.29385820031166077,865.0,0.1440616399049759,,,,
1,102,0.14669427275657654,0.26368966698646545,861.0,0.11699539422988892,,,,
1,103,0.14130713045597076,0.24611258506774902,888.0,0.10480546206235886,,,,
1,104,0.14425542950630188,0.25655657052993774,878.0,0.11230112612247467,,,,
1,105,0.14761050045490265,0.2655145525932312,847.0,0.11790405213832855,,,,
1,106,0.14359594881534576,0.2572968006134033,859.0,0.11370084434747696,,,,
1,107,0.13982205092906952,0.28559768199920654,860.0,0.14577564597129822,,,,
